important nonlinear data::important nonlinear data
properly::properly
ideas::ideas
principles::principles
programming::programming
2.1.1::2.1.1
adaptability::adaptability
reusability::reusability
framework::framework
tour::tour
walk::walk
leftmost::leftmost
viewing::viewing
walls::walls
complexity::complexity
upward::upward
unify::unify
notable::notable
pre::pre
reaching::reaching
visualization::visualization
post::post
proceeds::proceeds
contiguous::contiguous
subtours::subtours
eulertour::eulertour
reusable::reusable
adaptable::adaptable
generic::generic
redefining::redefining
steps::steps
customization::customization
primary::primary
auxiliary::auxiliary
hooks::hooks
designated::designated
separate::separate
previsit::previsit
hook::hook
postvisit::postvisit
completion::completion
manages::manages
defines::defines
customized::customized
created::created
execute::execute
beings::beings
returns::returns
overridden::overridden
init::init
prepare::prepare
tree.root::tree.root
indices::indices
tree.children::tree.children
results.append::results.append
increment::increment
pass::pass
experience::experience
customizing::customizing
build::build
maintaining::maintaining
post-processing::post-processing
discussion::discussion
expected::expected
parameters::parameters
tasks::tasks
maintain::maintain
state::state
accessed::accessed
bodies::bodies
flexibility::flexibility
preorderprintindentedtour::preorderprintindentedtour
produces::produces
invoking::invoking
expressed::expressed
tour.execute::tour.execute
preorderprintindentedlabeledtour::preorderprintindentedlabeledtour
achieved::achieved
overrides::overrides
parenthesizetour::parenthesizetour
preface::preface
self.tree::self.tree
.is::.is
notice::notice
diskspacetour::diskspacetour
graph::graph
designing::designing
customize::customize
binaryeulertour::binaryeulertour
invisit::invisit
specialize::specialize
differentiates::differentiates
taking::taking
sole::sole
succession::succession
assigned::assigned
tree.left::tree.left
tree.right::tree.right
layout::layout
geometry::geometry
determined::determined
assigns::assigns
y-coordinates::y-coordinates
rules::rules
graphics::graphics
xcoordinates::xcoordinates
increase::increase
bottom::bottom
origin::origin
upper::upper
corner::corner
screen::screen
binarylayout::binarylayout
assigning::assigning
x,y::x,y
coordinates::coordinates
count::count
x-coordinate::x-coordinate
super::super
processed::processed
.setx::.setx
serialized::serialized
.sety::.sety
y-coordinate::y-coordinate
advance::advance
draw::draw
setx::setx
sety::sety
expressiontree::expressiontree
constructing::constructing
evaluating::evaluating
mutators::mutators
construct::construct
numeric::numeric
eventual::eventual
goal::goal
arbitrarily::arbitrarily
compound::compound
expressions::expressions
suffices::suffices
basic::basic
initialization::initialization
op,e1,e2::op,e1,e2
token::token
run-time::run-time
one-parameter::one-parameter
done::done
three-parameter::three-parameter
incorporate::incorporate
composing::composing
9-5::9-5
inserted::inserted
2.3.2::2.3.2
joined::joined
5.4.2::5.4.2
appends::appends
isolated::isolated
isinstance::isinstance
raise::raise
typeerror::typeerror
valid::valid
pieces::pieces
piecewise::piecewise
compose::compose
append::append
result.append::result.append
evaluation::evaluation
accomplished::accomplished
designates::designates
evaluate::evaluate
t.evaluate::t.evaluate
float::float
val::val
elif::elif
treat::treat
multiplication::multiplication
building::building
combining::combining
automate::automate
bottom-up::bottom-up
construction::construction
assuming::assuming
tokenized::tokenized
multidigit::multidigit
treated::treated
atomically::atomically
r-8.30::r-8.30
fully::fully
stack::stack
scanning::scanning
tokens::tokens
push::push
literal::literal
single-node::single-node
pop::pop
items::items
subexpression::subexpression
repeat::repeat
stand-alone::stand-alone
s.append::s.append
demonstrated::demonstrated
variety::variety
sorted::sorted
map::map
fundamental::fundamental
10.1.1::10.1.1
keyerror::keyerror
getitem::getitem
associate::associate
item::item
setitem::setitem
del::del
delitem::delitem
guaranteeing::guaranteeing
keys::keys
supporting::supporting
searches::searches
stop::stop
excellent::excellent
key-value::key-value
k,v::k,v
matter::matter
convenience::convenience
diagram::diagram
affect::affect
placement::placement
omit::omit
relevant::relevant
navigating::navigating
demonstrating::demonstrating
structural::structural
assures::assures
consequence::consequence
prove::prove
induction::induction
sub::sub
strictly::strictly
extends::extends
executed::executed
descriptions::descriptions
finegrained::finegrained
navigation::navigation
7.4.1::7.4.1
last::last
greatest::greatest
located::located
continuing::continuing
long::long
symmetry::symmetry
reached::reached
repeated::repeated
rightward::rightward
successor::successor
rationale::rationale
purely::purely
workings::workings
correspondence::correspondence
flow::flow
control::control
returning::returning
found::found
rightmost::rightmost
symmetric::symmetric
predecessor::predecessor
bounded::bounded
amortized::amortized
c-11.34::c-11.34
intuitively::intuitively
mimic::mimic
related::related
11.1.2::11.1.2
namesake::namesake
attempt::attempt
locate::locate
p.key::p.key
successful::successful
unsuccessful::unsuccessful
treesearch::treesearch
event::event
explored::explored
determining::determining
insert::insert
executes::executes
primitive::primitive
starts::starts
spend::spend
illustrating::illustrating
caricature::caricature
big::big
triangle::triangle
zig-zag::zig-zag
subroutine::subroutine
begins::begins
combine::combine
variation::variation
admittedly::admittedly
strategies::strategies
bound::bound
logn::logn
11.1.3::11.1.3
insertions::insertions
deletions::deletions
inserting::inserting
fairly::fairly
straightforward::straightforward
insertion::insertion
command::command
reassigned::reassigned
underlying::underlying
failed::failed
